prediction_log_threshold,target_log_threshold
12.663569471025511,13.578154186283168
13.345249642411869,13.578154186283168
13.359649596983171,13.854460063644096
13.740092855898654,13.854460063644096
13.74928989088195,14.106751592614241
13.833428013437944,14.106751592614241
13.83548389561779,14.151329008907725
13.932746204450075,14.151329008907725
13.934144511767865,14.16859017092253
14.02779222503258,14.16859017092253
14.028656213448174,14.219995498080388
14.091760701273293,14.219995498080388
14.096257379113796,14.23986345782407
14.13636846388989,14.23986345782407
14.137599644740767,14.328271702438034
14.211458664605562,14.328271702438034
14.214105289419535,14.347041326455852
14.222614101344078,14.347041326455852
14.223160357553265,14.435842101388404
14.345266766754051,14.435842101388404
14.34775316694148,14.461610970069382
14.435697922716619,14.461610970069382
14.436326936881823,14.574336892340801
14.485660260600456,14.574336892340801
14.485989563828332,14.604091242368874
14.505821726084227,14.604091242368874
14.505869162908672,14.678630784730741
14.566027634451107,14.678630784730741
14.568221129543636,14.719339367389278
14.660626454682244,14.719339367389278
14.664200556905508,14.736990690804282
14.670753651420052,14.736990690804282
14.671419118580772,14.812082282602683
14.693179246759481,14.812082282602683
14.6938838614296,14.828446225994346
14.726185332963214,14.828446225994346
14.729325143131781,14.834774128219927
14.739052274859066,14.834774128219927
14.7394927050595,14.905090164482303
14.772406036963348,14.905090164482303
14.774257004724646,14.97537685989651
14.778851099541157,14.97537685989651
14.779606292570616,14.990295596938251
14.7823154927282,14.990295596938251
14.786203339703706,14.991341092831442
14.852371171408612,14.991341092831442
14.854006639365462,15.006801064635303
14.91282119867948,15.006801064635303
14.914071397748312,15.060330097093924
14.922277723241322,15.060330097093924
14.922566365465848,15.085711457912375
14.975205845571546,15.085711457912375
14.975361512442076,15.119134607110567
14.980651520076195,15.119134607110567
14.987174814550325,15.166058117860452
15.03431463207595,15.166058117860452
15.0350618052342,15.172112147194088
15.035485065256413,15.180646656014794
15.039334336683625,15.180646656014794
15.041649588175648,15.232544166604463
15.113463437287436,15.232544166604463
15.113964824022998,15.303495517337097
15.163220733052958,15.303495517337097
15.165458422052623,15.356225796723566
15.339906672164528,15.356225796723566
15.340916609029005,15.458199623378427
15.369337868951005,15.458199623378427
15.37756430432485,15.543914185139233
15.40533654907764,15.543914185139233
15.422448770864175,15.563577233119744
15.423539922270285,15.563577233119744
15.426592220782393,15.65301808337434
15.573218948590743,15.65301808337434
15.587304594799225,15.822993058324794
15.657024011454505,15.822993058324794
15.66683386879634,15.914202654788593
15.744111794635495,15.914202654788593
15.76401111624859,15.937420613679137
15.798449260468198,15.937420613679137
15.827758595209616,16.03830985194759
15.910698464729569,16.270233626368547
