fold,weight_hist_gbm,weight_gbr,weight_baseline,MAE,RMSE,R2,MAPE
fold1_2020H2-2021,0.225,0.523125,0.25187500000000007,561504.2998590153,758184.3066774682,0.7617127553123797,0.24258717906885505
fold2_2021H2-2022,0.225,0.523125,0.25187500000000007,572085.8867633983,782765.7982826484,0.7463364040268232,0.21558746143652618
fold3_test_proxy,0.225,0.523125,0.25187500000000007,650254.5380368647,876929.1742196043,0.7255161684575124,0.21545212643188835
