model,pred,segment,value,n,rmse,mae,mape,bias
xgb_no_lag_residual_legacy_lookup_mic,prediction_calibrated,is_tet_week,1,45,860861.1337940018,655655.59136794,0.2968577880849395,-208147.67567038056
xgb_no_lag,prediction_calibrated,month,1,93,580134.9936034486,445246.32128592447,0.28477542253816396,-3790.3674822050466
xgb_no_lag_residual_no_marketing,prediction_calibrated,month,1,93,609502.747190432,456116.1202587941,0.27038187247026707,-125964.83494866505
xgb_no_lag_residual_legacy_lookup_mic,prediction_calibrated,month,1,93,613072.2138811356,464261.96976848884,0.27434105242255463,-7430.746233322095
xgb,prediction_calibrated,month,1,93,614157.8262592736,483935.6823148123,0.30226136183263813,-86795.78516334236
xgb_no_lag_residual,prediction_calibrated,month,1,93,615219.5884039073,458860.72481820046,0.27308855496964796,-131957.61969962725
xgb_no_lag_residual_no_marketing,prediction_calibrated,month,10,155,521040.88403267047,401405.40323021874,0.19309233120227343,-43941.71059136299
xgb_no_lag_residual,prediction_calibrated,month,10,155,523730.19282204384,409289.54714316817,0.19499441666423836,-68496.87516950992
xgb_no_lag,prediction_calibrated,month,10,155,549715.2801717098,427365.50044044986,0.20233923312854582,-66681.59095846662
xgb,prediction_calibrated,month,10,155,632244.192999303,475901.8983727884,0.22507575035936464,-35268.06686360531
xgb_no_lag_residual_legacy_lookup_mic,prediction_calibrated,month,10,155,712036.2348592583,554115.0187177368,0.26425702167804255,-4405.72532228193
xgb_no_lag,prediction_calibrated,month,11,150,533594.6354984281,411007.97349084687,0.27427107348761837,94889.09222489322
xgb_no_lag_residual_no_marketing,prediction_calibrated,month,11,150,551925.6599551927,410562.1045632242,0.25885363941891315,-2797.279302693905
xgb_no_lag_residual,prediction_calibrated,month,11,150,553533.4740878281,416795.09040898015,0.2633826702394841,-1335.304542975224
xgb,prediction_calibrated,month,11,150,561950.3137144948,441522.4254079141,0.2903574673828248,91259.9058495313
xgb_no_lag_residual_legacy_lookup_mic,prediction_calibrated,month,11,150,644722.5440010054,484683.4740375299,0.3225878292306037,113144.3717606921
