fold,model,MAE,RMSE,R2,MAPE
fold1_2020H2-2021,xgboost_no_lag_residual_no_marketing,638891.4055431316,910415.8722381226,0.6564176427333617,0.22830334581085326
fold1_2020H2-2021,xgboost_no_lag_residual_no_marketing_calibrated,540152.9582045729,742667.7413923553,0.7713662528237593,0.22244466829495968
fold2_2021H2-2022,xgboost_no_lag_residual_no_marketing,613253.9828244521,852787.9622595306,0.6989236902721008,0.22739575555894412
fold2_2021H2-2022,xgboost_no_lag_residual_no_marketing_calibrated,583057.4258665815,827457.0492319815,0.7165441777868985,0.2316712587274873
fold3_test_proxy,xgboost_no_lag_residual_no_marketing,670272.243915019,941998.4292376147,0.6832708120660349,0.2162563960681203
fold3_test_proxy,xgboost_no_lag_residual_no_marketing_calibrated,603360.5786838535,855549.942659431,0.7387366669084643,0.2143783379463937
