prediction_log_threshold,target_log_threshold
12.673662599027171,13.625044321938342
13.348312992920308,13.625044321938342
13.404101176216749,13.853346885002244
13.736917355764703,13.853346885002244
13.743571554335952,13.91507130040518
13.744507706838736,13.92308798645393
13.744968239435034,13.923693033146254
13.751246004101459,14.103994040191361
13.854952979265308,14.103994040191361
13.86183134039864,14.1146878014228
13.88056794957629,14.1146878014228
13.881842951402788,14.156783865037841
14.028960078428835,14.156783865037841
14.031041431205361,14.234630748689185
14.096354301016655,14.234630748689185
14.09672218891208,14.2781979235994
14.097266525194442,14.2781979235994
14.107013808063739,14.2912884465406
14.11034933906158,14.30493446927356
14.155060033456616,14.30493446927356
14.155505025146011,14.333879495960597
14.21374631147414,14.333879495960597
14.218933822333438,14.415593957880446
14.362642083734258,14.415593957880446
14.364031817113963,14.431432922301573
14.399914642272321,14.431432922301573
14.40124142157098,14.452562300843406
14.401836187447369,14.452562300843406
14.403422485316785,14.488946256610914
14.462503263960363,14.488946256610914
14.469255477745104,14.502209917499881
14.482610941646895,14.502209917499881
14.482676035531544,14.55832256516147
14.507552022628891,14.55832256516147
14.508418544994273,14.695148619489197
14.584639863816786,14.695148619489197
14.5852126490702,14.699002615266371
14.619303419200085,14.699002615266371
14.620259240529485,14.74045021106573
14.63480236041043,14.74045021106573
14.634947356497198,14.752470505521073
14.680837885284646,14.752470505521073
14.68084702301736,14.758023564239874
14.68504390286548,14.758023564239874
14.685658402888926,14.765300315466437
14.72235388799987,14.765300315466437
14.722827751182699,14.834265375026499
14.72709244551336,14.834265375026499
14.727579832317979,14.852988471609665
14.728220867546217,14.852988471609665
14.730248865922494,14.85773890535599
14.73093799358825,14.85773890535599
14.731731487606234,14.8716185734627
14.760763291486656,14.8716185734627
14.760816721907226,14.98153097853253
14.855720556710011,14.98153097853253
14.856593614513088,15.002028121248697
14.906010674013304,15.002028121248697
14.907226817736232,15.033212789662636
14.929827638849417,15.033212789662636
14.931074495872794,15.049888646941108
14.93475819753143,15.0592498930749
14.945784203292803,15.0592498930749
14.94579394067217,15.074598092495934
14.991592372253464,15.074598092495934
14.992524371881926,15.108899793635345
15.001766452402927,15.108899793635345
15.00185236482816,15.173910288674323
15.02800818142998,15.173910288674323
15.030276460625071,15.260334186097156
15.120702061888853,15.260334186097156
15.120812840266128,15.310397202040553
15.188649298774761,15.310397202040553
15.189063999943565,15.338550448762378
15.190874092174145,15.338550448762378
15.199050407526283,15.357375148910748
15.340299670971058,15.357375148910748
15.341511368639106,15.43838856032037
15.355866655403208,15.43838856032037
15.368048316744456,15.458826635297948
15.38219762318266,15.458826635297948
15.386457994866038,15.481843706635757
15.399744139759576,15.481843706635757
15.418811911850696,15.653169966825903
15.508128154048572,15.653169966825903
15.52331168059148,15.667483175596345
15.576007615276712,15.667483175596345
15.591539766095494,15.852113965304712
15.671717980074794,15.852113965304712
15.679014488018863,15.855960840828757
15.745984677872782,15.855960840828757
15.756582508923207,15.935847819691684
15.803040023807442,15.935847819691684
15.810259401058309,15.940566201654047
15.831275091450408,16.03830985194759
15.923417468201208,16.270233626368547
