prediction_log_threshold,target_log_threshold
13.2655611038208,13.75031852722168
13.75085735321045,13.75031852722168
13.753363609313965,13.903590202331543
13.820137023925781,13.903590202331543
13.827509880065918,13.951014518737793
13.890373229980469,13.951014518737793
13.895846366882324,14.012645721435547
13.938222885131836,14.012645721435547
13.94633674621582,14.01871395111084
13.962200164794922,14.01871395111084
13.971427917480469,14.132085800170898
14.055404663085938,14.132085800170898
14.057008743286133,14.197966575622559
14.111895561218262,14.197966575622559
14.114090919494629,14.202905654907227
14.152381896972656,14.202905654907227
14.156593322753906,14.21076488494873
14.202839851379395,14.21076488494873
14.205886840820312,14.21933364868164
14.223323822021484,14.21933364868164
14.226637840270996,14.226683616638184
14.248473167419434,14.226683616638184
14.251192092895508,14.305956840515137
14.286513328552246,14.305956840515137
14.289795875549316,14.342759132385254
14.345196723937988,14.342759132385254
14.345396995544434,14.420310974121094
14.410735130310059,14.420310974121094
14.413371086120605,14.42215633392334
14.447795867919922,14.42215633392334
14.448766708374023,14.477415084838867
14.465526580810547,14.477415084838867
14.466707229614258,14.491244316101074
14.499856948852539,14.491244316101074
14.50115966796875,14.5141019821167
14.546087265014648,14.5141019821167
14.546454429626465,14.556225776672363
14.550237655639648,14.635653495788574
14.613197326660156,14.635653495788574
14.614514350891113,14.681986808776855
14.626143455505371,14.681986808776855
14.630240440368652,14.718661308288574
14.679390907287598,14.718661308288574
14.686431884765625,14.72716999053955
14.69655990600586,14.72716999053955
14.69685173034668,14.737258911132812
14.708070755004883,14.737258911132812
14.7083158493042,14.788087844848633
14.716800689697266,14.788087844848633
14.723738670349121,14.80832576751709
14.890278816223145,14.80832576751709
14.893019676208496,14.849166870117188
14.895883560180664,14.849166870117188
14.897170066833496,14.866647720336914
14.900933265686035,14.866647720336914
14.901481628417969,14.901607513427734
14.907448768615723,14.901607513427734
14.907519340515137,14.940731048583984
14.93449592590332,14.940731048583984
14.938509941101074,14.971056938171387
14.940524101257324,14.971056938171387
14.941143989562988,14.97291088104248
14.945916175842285,14.97291088104248
14.947066307067871,15.001086235046387
15.017620086669922,15.001086235046387
15.018380165100098,15.049245834350586
15.024919509887695,15.049245834350586
15.025914192199707,15.144604682922363
15.134603500366211,15.144604682922363
15.134645462036133,15.15405559539795
15.149975776672363,15.15405559539795
15.150673866271973,15.208641052246094
15.229156494140625,15.208641052246094
15.22957992553711,15.247434616088867
15.236921310424805,15.247434616088867
15.238007545471191,15.271707534790039
15.25008773803711,15.271707534790039
15.25123405456543,15.281514167785645
15.302529335021973,15.281514167785645
15.305205345153809,15.345216751098633
15.408921241760254,15.345216751098633
15.415631294250488,15.447052955627441
15.442988395690918,15.447052955627441
15.452620506286621,15.545031547546387
15.554903984069824,15.545031547546387
15.56019115447998,15.596488952636719
15.563210487365723,15.596488952636719
15.565793991088867,15.66838264465332
15.624534606933594,15.66838264465332
15.643604278564453,15.755592346191406
15.679537773132324,15.755592346191406
15.68159008026123,15.797276496887207
15.713464736938477,15.797276496887207
15.74490737915039,15.886012077331543
15.749781608581543,15.904825210571289
15.79515552520752,15.904825210571289
15.836090087890625,15.932661056518555
15.848445892333984,15.932661056518555
15.905206680297852,15.935978889465332
15.959270477294922,15.935978889465332
15.968576431274414,16.03830909729004
15.987344741821289,16.270233154296875
