fold,months,avg_monthly_abs_err_raw,avg_monthly_abs_err_calibrated,avg_monthly_ape_raw,avg_monthly_ape_calibrated,mean_actual_revenue,segment
ALL,35,11542227.268853014,6519125.006325948,0.1626698526258853,0.0922613897152625,71878358.30399999,non_peak
ALL,13,20360117.246428225,13612211.481497796,0.15388162177451545,0.10245933519002809,132830326.40846154,peak_month
fold1_2020H2-2021,13,9210230.24220428,5696229.2273612805,0.13467471578078885,0.0852170999147912,65421924.351538464,non_peak
fold1_2020H2-2021,5,31864214.85684424,17266482.99201731,0.24594738807755845,0.13186683959558002,128339236.53,peak_month
fold2_2021H2-2022,13,13465008.659349283,8447408.063156653,0.19872866441152587,0.1238958784643629,70260002.89461538,non_peak
fold2_2021H2-2022,5,12142113.387994658,11219417.319589296,0.08974808882163128,0.08484456964382203,133445343.08199999,peak_month
fold3_test_proxy,9,12133316.521073239,4922454.493852781,0.15102232215621045,0.05674221345613162,83541942.93777779,non_peak
fold3_test_proxy,3,14883294.326457465,11509749.23381278,0.10732789952425077,0.08280477042445163,139290448.41666666,peak_month
