prediction_log_threshold,target_log_threshold
13.285044303155003,13.476309979415811
13.553826262265613,13.476309979415811
13.563221087519931,13.785048253450544
13.697378836524068,13.785048253450544
13.701592489004844,14.007748954801263
13.786335995330736,14.007748954801263
13.78892457439027,14.158897236590391
13.96531946879596,14.158897236590391
13.971981365640739,14.24710815852098
14.12649152833474,14.24710815852098
14.128951290429557,14.290423349731592
14.167373656019087,14.290423349731592
14.168674495527254,14.295167238219815
14.250900420762692,14.295167238219815
14.251701465101796,14.354915049660272
14.324504480188793,14.354915049660272
14.324901578178503,14.471322363098018
14.396153258466734,14.471322363098018
14.399863521957032,14.507627170415532
14.504803382528383,14.507627170415532
14.50534337709138,14.551279654044107
14.506523713110871,14.551279654044107
14.506839148391157,14.559235595834158
14.538666833786118,14.559235595834158
14.539551723042194,14.635026003258979
14.573997110769918,14.635026003258979
14.574489368548504,14.737896405061583
14.625534252302666,14.737896405061583
14.627240232306557,14.739369752559952
14.678546494016764,14.739369752559952
14.679041025239197,14.79156048230873
14.68917120337132,14.79156048230873
14.690056786604494,14.797916703182832
14.784154100240604,14.797916703182832
14.784982466055117,14.848279827755492
14.795647915421466,14.848279827755492
14.796449945535967,14.863911534968604
14.814035026223783,14.863911534968604
14.815128183280615,14.894130749506404
14.858638325170224,14.894130749506404
14.860606205246665,14.930905594082454
14.87599206262381,14.930905594082454
14.876196309005906,14.9339729074441
14.880045891643407,14.940883769273174
14.884536711517299,14.940883769273174
14.890470104647452,14.986108916056168
14.89779370728619,14.986108916056168
14.89942084151806,14.988159518873388
14.937732596715955,14.988159518873388
14.94121124556997,15.043011579371681
15.007120961734444,15.043011579371681
15.007680582712881,15.08024994437902
15.01891685185347,15.08024994437902
15.019882182750756,15.117789159644426
15.09355725350604,15.117789159644426
15.094918169879781,15.239370487967799
15.13346749122924,15.239370487967799
15.135837544287895,15.292286032021593
15.425175069722808,15.292286032021593
15.429576842938348,15.523431513945711
15.59605015247594,15.523431513945711
15.60125115842111,15.751922938965473
15.69965756903594,15.751922938965473
15.712635430338212,15.847274948595711
15.725286443020849,15.88109742063532
15.794486044880216,15.88109742063532
15.798807115237365,15.88780775697408
15.844941140607766,15.88780775697408
15.853894172345989,15.929104865054354
15.954052972909846,15.929104865054354
16.034896416692344,16.03830985194759
16.12660162239476,16.270233626368547
