model,MAE,RMSE,R2,MAPE
xgboost_precovid_anchor_anchor_gap_aggressive_w20_05_default_calibrated,572343.595544116,810430.6941907344,0.7469466979952541,0.21700841912886742
xgboost_precovid_anchor_anchor_gap_aggressive_w20_05_default,660992.9379113491,926636.7937347135,0.6685906229687197,0.22294278965994846
