fold,months,avg_monthly_abs_err_raw,avg_monthly_abs_err_calibrated,avg_monthly_ape_raw,avg_monthly_ape_calibrated,mean_actual_revenue,segment
ALL,35,8846625.858571429,6057522.379775027,0.11818273857391196,0.08321844211573666,71878358.30399999,non_peak
ALL,13,13364702.225769231,8183614.453636065,0.10125847593277564,0.06258232232732541,132830326.40846154,peak_month
fold1_2020H2-2021,13,6937161.262884617,4895415.069713097,0.09632660041170664,0.07290631572978831,65421924.351538464,non_peak
fold1_2020H2-2021,5,17458212.03,9358727.084472468,0.13776878826135502,0.07441215052264073,128339236.53,peak_month
fold2_2021H2-2022,13,10848756.442884615,8492507.57497896,0.14625814375033885,0.1150271600991992,70260002.89461538,non_peak
fold2_2021H2-2022,5,11460367.831999999,7545293.6663046125,0.08338029331425788,0.05661676012969805,133445343.08199999,peak_month
fold3_test_proxy,9,8712774.986111112,4218920.990125466,0.10919935288670303,0.05216780980821614,83541942.93777779,non_peak
fold3_test_proxy,3,9716076.541666666,7288961.381127815,0.07020492641600624,0.05280854566451215,139290448.41666666,peak_month
