feature,split_importance
aux_delivered_status_share_year2,66
aux_avg_session_duration_sec_year2,65
aux_region_share_central_month_dow_mean,65
aux_avg_unit_price_doy_mean,65
aux_mean_fill_rate_roll30_730,64
aux_region_share_east_lag730,64
aux_organic_search_share_lag730,64
aux_avg_order_value_year1,63
aux_returned_status_share_week_mean,63
aux_region_share_central_year2,62
aux_avg_installments_month_dow_mean,62
aux_overstock_ratio_roll30_730,62
aux_mobile_share_lag730,62
aux_cod_share_lag548,62
aux_units_lag548,61
aux_net_item_sales_month_dow_mean,61
aux_avg_installments_year2,61
aux_desktop_share_lag730,60
aux_returned_status_share_lag548,60
aux_review_rows_year1,59
aux_cod_share_month_dow_mean,59
aux_refund_amount_doy_mean,59
aux_returned_status_share_year2,58
aux_overstock_ratio_year1,58
aux_net_item_sales_lag730,58
aux_avg_session_duration_sec_lag548,57
aux_refund_amount_month_dow_mean,57
aux_delivered_status_share_lag548,57
aux_shipping_fee_week_mean,56
aux_mobile_share_roll30_548,56
aux_region_share_east_roll30_548,56
aux_cat_share_streetwear_lag548,55
aux_mean_sell_through_rate_roll30_730,55
aux_refund_amount_lag548,54
aux_sessions_doy_mean,53
aux_refund_per_order_roll30_730,53
aux_region_share_west_lag730,53
aux_ship_days_mean_lag548,52
aux_credit_card_share_week_mean,51
aux_social_media_share_roll30_730,51
aux_avg_rating_roll30_730,51
aux_net_item_sales_lag548,51
aux_refund_per_order_year2,51
aux_mean_days_of_supply_year1,51
aux_mobile_share_roll30_730,50
aux_credit_card_share_roll30_730,50
aux_avg_order_value_year2,50
aux_region_share_central_lag548,50
aux_organic_search_share_week_mean,49
aux_page_views_year1,49
aux_review_rows_doy_mean,48
aux_avg_unit_price_year2,48
aux_avg_unit_price_lag730,48
aux_avg_session_duration_sec_lag730,48
aux_mean_days_of_supply_lag730,48
aux_paid_search_share_week_mean,48
aux_net_item_sales_week_mean,48
aux_order_count_lag548,48
aux_mean_days_of_supply_roll30_548,47
aux_mean_fill_rate_lag548,47
aux_avg_order_value_lag548,47
aux_return_qty_year1,47
aux_avg_order_value_week_mean,47
aux_conversion_order_per_session_week_mean,46
aux_credit_card_share_year2,46
aux_refund_amount_lag730,46
aux_sessions_roll30_548,46
aux_stockout_ratio_lag730,46
aux_shipments_week_mean,46
aux_cat_share_outdoor_lag548,45
aux_cat_share_streetwear_month_dow_mean,45
aux_sessions_year1,45
aux_cat_share_casual_week_mean,45
aux_cat_share_streetwear_roll30_548,45
aux_order_count_year2,45
aux_refund_per_order_week_mean,45
aux_page_views_roll30_548,45
aux_refund_amount_year2,45
aux_desktop_share_roll30_548,44
aux_page_views_doy_mean,44
aux_shipments_year2,44
aux_bounce_rate_roll30_730,44
aux_return_qty_doy_mean,44
aux_avg_discount_rate_doy_mean,43
aux_delivered_status_share_week_mean,43
aux_region_share_west_lag548,42
aux_region_share_central_lag730,42
aux_return_qty_per_order_roll30_730,42
aux_desktop_share_week_mean,41
aux_units_per_order_roll30_548,41
aux_cod_share_week_mean,41
aux_cat_share_genz_week_mean,41
aux_return_qty_per_order_year2,41
aux_cod_share_roll30_730,41
aux_social_media_share_week_mean,40
aux_ship_days_mean_week_mean,40
aux_mean_fill_rate_lag730,40
aux_region_share_east_year2,40
aux_units_per_order_week_mean,40
aux_conversion_order_per_session_lag730,39
aux_region_share_east_roll30_730,39
aux_order_count_week_mean,39
aux_desktop_share_roll30_730,38
aux_avg_order_value_month_dow_mean,37
aux_ship_days_mean_year2,37
aux_region_share_central_roll30_730,36
aux_return_qty_per_order_lag730,36
aux_payment_value_doy_mean,36
aux_avg_rating_week_mean,35
aux_return_qty_per_order_roll30_548,35
aux_return_qty_roll30_730,35
aux_avg_order_value_roll30_548,35
aux_sessions_lag548,35
aux_refund_per_order_roll30_548,34
aux_cat_share_outdoor_lag730,34
aux_region_share_west_week_mean,34
aux_avg_session_duration_sec_week_mean,34
aux_region_share_central_week_mean,34
aux_avg_order_value_lag730,34
aux_stockout_ratio_year2,34
aux_cat_share_streetwear_year2,33
aux_avg_unit_price_month_dow_mean,33
aux_region_share_west_year2,33
aux_region_share_west_roll30_548,33
aux_avg_unit_price_roll30_548,33
aux_cat_share_outdoor_year2,33
aux_cat_share_outdoor_month_dow_mean,33
aux_cat_share_genz_roll30_730,33
aux_avg_unit_price_roll30_730,32
aux_cat_share_streetwear_lag730,32
aux_region_share_west_roll30_730,32
aux_order_count_lag730,32
aux_region_share_east_week_mean,31
aux_return_qty_per_order_week_mean,31
aux_page_views_lag548,31
aux_avg_order_value_roll30_730,30
aux_return_qty_lag548,29
aux_return_qty_roll30_548,28
aux_overstock_ratio_roll30_548,28
aux_mean_days_of_supply_lag548,28
aux_units_per_order_roll30_730,28
aux_avg_product_margin_rate_week_mean,27
aux_review_rows_roll30_548,27
aux_refund_per_order_lag730,26
aux_avg_unit_price_week_mean,26
aux_review_rows_roll30_730,26
aux_units_lag730,26
aux_shipping_fee_roll30_548,25
aux_page_views_year2,25
aux_mean_fill_rate_month_dow_mean,25
aux_refund_amount_roll30_730,24
aux_mean_fill_rate_year2,23
aux_overstock_ratio_lag730,23
aux_page_views_lag730,23
aux_units_year2,23
