fold,model,n_features,MAE,RMSE,R2,MAPE
fold1_2020H2-2021,lightgbm_all_aux_regularized,576,631335.7003626707,867962.4247836423,0.6877136062286733,0.27102638519791433
fold2_2021H2-2022,lightgbm_all_aux_regularized,576,602347.7661977449,824852.1097393734,0.7183260781314618,0.2279540157391761
fold3_test_proxy,lightgbm_all_aux_regularized,576,670696.5131094643,909102.8065579793,0.7050056302886272,0.21973153061230122
