fold,model,MAE,RMSE,R2,MAPE
fold1_2020H2-2021,xgboost_precovid_anchor_anchor_gap_aggressive_w20_05_default,680745.5036468391,989971.8420820513,0.5937467036581809,0.23745739153340323
fold1_2020H2-2021,xgboost_precovid_anchor_anchor_gap_aggressive_w20_05_default_calibrated,566228.4751162449,798713.342629608,0.735556380614951,0.22871785165181382
fold2_2021H2-2022,xgboost_precovid_anchor_anchor_gap_aggressive_w20_05_default,636938.5963305907,872320.3978022966,0.6849739140377946,0.2319828360206943
fold2_2021H2-2022,xgboost_precovid_anchor_anchor_gap_aggressive_w20_05_default_calibrated,573289.1154167363,810988.2127342457,0.7277151074247039,0.22604646549231203
fold3_test_proxy,xgboost_precovid_anchor_anchor_gap_aggressive_w20_05_default,667524.5165656082,933892.6119552285,0.6886982160514902,0.21171292109411904
fold3_test_proxy,xgboost_precovid_anchor_anchor_gap_aggressive_w20_05_default_calibrated,574222.3317916922,814783.1236890783,0.7630417792897055,0.20690181830162205
